measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,14,Maldives,3,Both,22,All ages,322,Lower respiratory infections,1,Number,2019,48.85725455803502,55.88612583037787,42.05431182419076
1,Deaths,17,Sri Lanka,3,Both,22,All ages,368,Maternal sepsis and other maternal infections,1,Number,2019,1.4671522096393799,2.1686095386909234,0.9901463350222215
1,Deaths,17,Sri Lanka,3,Both,22,All ages,383,Neonatal sepsis and other neonatal infections,1,Number,2019,164.7254427710136,214.7758283287482,124.40872474286512
1,Deaths,13,Malaysia,3,Both,22,All ages,322,Lower respiratory infections,1,Number,2019,19137.698973642462,21138.08218597582,15798.729941511607
1,Deaths,15,Myanmar,3,Both,22,All ages,322,Lower respiratory infections,1,Number,2019,23051.957706109883,27346.174173488424,18893.798264672383
1,Deaths,18,Thailand,3,Both,22,All ages,322,Lower respiratory infections,1,Number,2019,37980.37422519449,44455.863135855776,29185.706655266185
1,Deaths,162,Bhutan,3,Both,22,All ages,368,Maternal sepsis and other maternal infections,1,Number,2019,0.2070358935371339,0.36931413296086024,0.09941781606841037
1,Deaths,162,Bhutan,3,Both,22,All ages,383,Neonatal sepsis and other neonatal infections,1,Number,2019,12.773381836434966,19.408897414859663,8.40597472163426
1,Deaths,35,Georgia,3,Both,22,All ages,383,Neonatal sepsis and other neonatal infections,1,Number,2019,48.08032976021458,60.636080828269904,38.66476894788473
1,Deaths,68,Republic of Korea,3,Both,22,All ages,368,Maternal sepsis and other maternal infections,1,Number,2019,0.7365313760797313,1.0176433227654897,0.5236523971121022
1,Deaths,68,Republic of Korea,3,Both,22,All ages,383,Neonatal sepsis and other neonatal infections,1,Number,2019,60.660058201784516,75.84462543949728,40.8124869695639
1,Deaths,33,Armenia,3,Both,22,All ages,322,Lower respiratory infections,1,Number,2019,966.0424858357611,1039.7530020949596,876.5093673933553
1,Deaths,34,Azerbaijan,3,Both,22,All ages,322,Lower respiratory infections,1,Number,2019,2658.247953487249,3164.9522428274286,2258.6806549326816
